address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Av.nove de Julho,Bela Vista,25,1,0,Apartamento,2500,3008,-23.5606299,-46.6551101
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712,-23.5461441,-46.6178889
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882,-23.5451183,-46.5744197
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715,-23.6594912,-46.5601745
Avenida Vila Ema,Vila Prudente,56,2,1,Apartamento,1890,2222,-23.5814401,-46.5633364
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354,-23.636283,-46.7352712
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416,-23.5037826,-46.5520524
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879,-23.6780367,-46.5175348
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575,-23.6153367,-46.5216801
Avenida São João,República,31,1,0,Apartamento,1300,1350,-23.5397579,-46.6448726
Rua Arruda Ferreira,Vila Guilherme,20,1,0,Apartamento,1100,1230,-23.5129224,-46.6084788
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393,-23.5379264,-46.6370485
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773,-23.5841611,-46.5758843
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110,-23.4604137,-46.5589656
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782,-23.5798817,-46.6154177
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066,-23.651843,-46.5436217
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857,-23.4439345,-46.5445973
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126,-23.59294,-46.5565614
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529,-23.6151641,-46.5995056
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416,-23.5125174,-46.6066366
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016,-23.548639,-46.6163579
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327,-23.5564179,-46.6341737
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672,-23.5347406,-46.5628588
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486,-23.6136667,-46.5971237
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194,-23.5676498,-46.6229699
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928,-23.5362241,-46.5398327
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053,-23.6140288,-46.5982077
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913,-23.5562916,-46.601464
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495,-23.4647321,-46.5129203
Avenida Prestes Maia,Centro,37,1,0,Studio e kitnet,1100,1918,-23.6256228,-45.4144986
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674,-23.6212296,-46.6255767
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052,-23.59294,-46.5565614
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492,-23.6339516,-46.5941399
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017,-23.5229661,-46.5486402
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293,-23.6560774,-46.6711726
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998,-23.6679817,-46.6828891
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097,-23.5650996,-46.66673
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424,-23.5505419,-46.6074398
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532,-23.4897222,-46.6391261
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955,-23.5354605,-46.7184678
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069,-23.531759,-46.5827501
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668,-23.5330242,-46.704804
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187,-23.5544759,-46.7427941
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712,-23.5158485,-46.6909303
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949,-23.4843493,-46.6051691
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487,-23.6424873,-46.5286875
Rua João Adolfo,Centro,26,1,0,Studio e kitnet,1750,2194,-23.5809871,-48.0364038
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682,-23.545592,-46.6455747
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467,-23.5564177,-46.6618937
Avenida Tiradentes,Luz,48,2,1,Apartamento,2860,3406,-23.5310788,-46.6321542
Rua Frei Gaspar,Mooca,33,1,0,Apartamento,3100,3600,-23.5483636,-46.6062813
Rua Joaquim Oliveira Freitas,Vila Mangalot,51,2,1,Apartamento,920,1572,-23.4923992,-46.7451314
Avenida Senador José Ermírio de Moraes,Tremembé,62,2,1,Apartamento,2300,2952,-23.4524981,-46.6145939
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142,-23.5402087,-46.6374753
Rua Fernando Dondon,Tatuapé,24,1,0,Studio e kitnet,1600,1964,-23.5464234,-46.5620488
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,Apartamento,1500,1728,-23.5340441,-46.5426343
Rua Conselheiro Ramalho,Bela Vista,26,1,0,Studio e kitnet,1953,2338,-23.5577177,-46.6443949
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019,-23.4793839,-46.6090902
Rua Barão de Campinas,Campos Elíseos,12,1,0,Studio e kitnet,900,1125,-23.1896119,-46.9015053
Rua Maria Zélia,Piqueri,41,1,1,Casa,1550,1624,-23.5030391,-46.7122887
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,Studio e kitnet,1350,1502,-23.5817944,-46.5804169
Avenida Ajarani,Cidade Patriarca,44,2,1,Apartamento,1800,2527,-23.5408435,-46.51231
Rua Antônio de Macedo Soares,Campo Belo,50,1,1,Apartamento,3350,4029,-23.6242797,-46.6770146
Rua Martins Fontes,Centro,30,1,0,Apartamento,2600,3100,-23.296155,-45.9473338
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767,-23.536349,-46.6566334
Rua Desembargador Aragão,Vila Mariana,40,1,1,Studio e kitnet,4900,5471,-23.5931034,-46.6310962
Rua Antônio Gomes Ferreira,Sacomã,32,2,0,Apartamento,1350,1652,-23.6339516,-46.5941399
Rua José Arzão,Vila Andrade,51,2,0,Apartamento,2480,3529,-23.6188296,-46.7448433
Rua João José Pacheco,Jardim Vila Mariana,22,0,0,Studio e kitnet,2200,2808,-23.593823,-46.62384
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886,-23.548639,-46.6163579
Avenida do Cursino,Vila Gumercindo,72,3,2,Apartamento,4000,4154,-23.6056639,-46.6161616
Avenida Paes de Barros,Mooca,98,3,1,Apartamento,3000,3889,-23.5675099,-46.5911401
Rua Bento Vieira,Ipiranga,55,2,1,Apartamento,2350,3310,-23.5791229,-46.6036719
Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,-23.5577926,-46.6738109
Rua Heitor Penteado,Sumarezinho,55,2,1,Apartamento,2300,3039,-23.5461784,-46.6911614
Rua Henrique Sertório,Tatuapé,24,1,0,Studio e kitnet,1900,2430,-23.5394195,-46.5782329
Largo do Arouche,República,30,1,0,Studio e kitnet,2390,3113,-23.5410441,-46.64537328059034
Rua Alfredo Pujol,Santana,26,1,0,Studio e kitnet,2500,2940,-23.5001965,-46.6310225
Rua Gravi,Vila da Saúde,35,1,0,Casa,1400,1424,-23.6125702,-46.6373773
Rua Guaraja,Vila Mazzei,70,2,1,Apartamento,1600,2131,-23.4736287,-46.6010535
Avenida João Dias,Santo Amaro,67,2,1,Apartamento,1900,2964,-23.6461864,-46.708651
Rua Cristóvão Colombo,Jardim Vila Galvão,45,2,1,Apartamento,1443,1934,-23.4621257,-46.5589622
Rua Capitão Teófilo,Centro,94,3,1,Apartamento,2200,2926,-23.4684118,-46.5315749
Rua Avanhandava,Bela Vista,24,1,0,Studio e kitnet,2350,2892,-23.5523179,-46.6480901
Avenida Nove de Julho,Bela Vista,26,1,0,Studio e kitnet,1250,1629,-23.5606299,-46.6551101
Rua Catulo da Paixão Cearense,Vila da Saúde,75,3,2,Apartamento,3700,5068,-23.6143354,-46.6290832
Rua Jequitinhonha,Campestre,85,3,2,Apartamento,2047,2691,-23.6393171,-46.5482293
Rua dos Democratas,Vila Monte Alegre,48,2,1,Apartamento,1900,2774,-23.6289782,-46.6330698
Rua Álvaro de Carvalho,Centro,26,1,0,Studio e kitnet,2450,2995,-22.7391165,-47.6482136
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,Apartamento,1481,1788,-23.5340441,-46.5426343
Rua Gomes de Carvalho,Vila Olímpia,75,3,1,Apartamento,3200,4253,-23.5948667,-46.6896067
Rua Álvaro de Carvalho,Centro,37,2,0,Apartamento,2500,3220,-22.7391165,-47.6482136
Rua Gravataí,Consolação,24,1,0,Studio e kitnet,3000,3575,-23.5488591,-46.647762
Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,-23.566351,-46.6856195
Rua Paim,Bela Vista,50,1,1,Apartamento,4000,4918,-23.5548176,-46.6490388
Rua Cásper Líbero,Paulicéia,65,3,1,Apartamento,1560,2361,-23.6685168,-46.5914282
Rua Armando Pinelli,Taboão,54,2,1,Apartamento,1100,1743,-23.6647543,-46.6091429
Rua José Bento,Cambuci,41,2,0,Apartamento,2090,2511,-23.5634221,-46.6164939
Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018,-23.5516401,-46.6811417
Rua Conde de São Joaquim,Bela Vista,35,1,1,Apartamento,1600,2490,-23.5560084,-46.6395825
Praça Alberto Lion,Cambuci,34,2,0,Apartamento,1443,1829,-23.562555,-46.61134046799562
Rua Paulistânia,Sumarezinho,31,1,0,Studio e kitnet,2620,3191,-23.5467932,-46.6921502
Praça Conde Pedro Leonelli,Vila Rosália,57,2,1,Apartamento,1750,2298,-23.44831115,-46.556695993193216
Rua Santo Antônio,Bela Vista,29,1,0,Apartamento,1700,2199,-22.5959374,-46.5169555
Rua Santo Antônio,Bela Vista,37,2,0,Apartamento,2200,2814,-22.5959374,-46.5169555
Rua Rocha,Bela Vista,29,1,0,Studio e kitnet,1400,1721,-23.5562382,-46.6498965
Rua Itajaí,Mooca,76,3,1,Apartamento,4200,5319,-23.5507791,-46.6008872
Rua Araguaia,Vila Curuca,64,2,1,Apartamento,3600,4459,-23.6446692,-46.5188522
Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677,-23.5703061,-46.7001637
Rua Bento Freitas,República,22,1,0,Studio e kitnet,2800,3329,-23.545592,-46.6455747
Rua Desembargador Euclides da Silveira,Casa Verde,49,1,1,Apartamento,3500,4188,-23.507761,-46.6517593
Rua Palestina,Vila Mascote,130,3,1,Casa,4000,4311,-23.644053,-46.6682892
Avenida João Pessoa,Jardim Utinga,62,2,1,Apartamento,1900,2406,-23.6191869,-46.5228999
Avenida Vereador José Diniz,Santo Amaro,25,1,0,Studio e kitnet,2600,3048,-23.6272108,-46.6845584
Avenida Giovanni Gronchi,Vila Andrade,98,3,2,Apartamento,2442,4507,-23.6277588,-46.7358968
Rua Rego Freitas,República,20,1,0,Studio e kitnet,1640,2133,-23.5446445,-46.6466037
Rua Bela Cintra,Consolação,48,1,1,Apartamento,2600,3597,-23.5564177,-46.6618937
Rua Pamplona,Cerqueira César,49,1,1,Apartamento,3000,3967,-23.5637036,-46.6537602
Rua Dona Elisa,Barra Funda,70,3,1,Apartamento,4800,5790,-23.5297569,-46.6630989
Rua Frei Caneca,Consolação,28,1,0,Studio e kitnet,1700,2366,-23.5531867,-46.6521291
Rua Otto de Barros,Vila Santo Estéfano,58,2,2,Apartamento,2120,3223,-23.6234508,-46.6268146
Rua Santa Izabel,Vila Augusta,66,2,2,Apartamento,2600,3254,-23.477748,-46.5417244
Rua São Miguel,Bela Vista,35,1,1,Apartamento,2500,3296,-23.5551069,-46.6545922
Rua Nanuque,Vila Leopoldina,115,3,2,Apartamento,4450,6177,-23.5291752,-46.7273705
Rua do Lavapés,Cambuci,45,2,0,Apartamento,2500,3046,-23.5622441,-46.6216806
Avenida Deputado Emílio Carlos,Limão,49,2,1,Apartamento,1900,2359,-23.4986241,-46.6751539
Rua Caio Prado,Consolação,24,1,0,Studio e kitnet,4300,4765,-23.547932,-46.6490342
Avenida Joaquina Ramalho,Vila Guilherme,60,3,1,Apartamento,3000,3845,-23.5125174,-46.6066366
Rua Amandaú,Tucuruvi,35,2,0,Apartamento,2500,2976,-23.4891168,-46.6081076
Rua Cardoso de Almeida,Perdizes,33,1,0,Apartamento,3000,4039,-23.5519203,-46.6758944
Rua Leandro Dupré,Vila Clementino,15,1,0,Studio e kitnet,1000,1038,-23.5967275,-46.6465525
Avenida Mascote,Vila Mascote,86,2,2,Apartamento,4800,5935,-23.6466389,-46.6703112
Rua Bela Cintra,Consolação,51,1,1,Apartamento,4000,5189,-23.5564177,-46.6618937
Rua Gomes de Carvalho,Vila Olímpia,30,1,1,Studio e kitnet,3000,3751,-23.5948667,-46.6896067
Avenida Vereador José Diniz,Santo Amaro,47,1,1,Apartamento,2799,3526,-23.6272108,-46.6845584
Rua Batataes,Jardim Paulista,54,1,2,Apartamento,3466,6316,-23.5714135,-46.6561708
Rua Augusta,Cerqueira César,35,1,1,Apartamento,2800,3661,-23.5612183,-46.6634607
Rua Cardoso de Almeida,Perdizes,33,1,0,Studio e kitnet,3000,4116,-23.5519203,-46.6758944
Rua Doutor Plínio Barreto,Bela Vista,60,2,1,Apartamento,5500,6504,-23.5575749,-46.6521241
Rua Azevedo Soares,Vila Gomes Cardim,82,3,1,Apartamento,3000,4040,-23.5500163,-46.5721621
Avenida Amador Bueno da Veiga,Penha de França,58,2,1,Apartamento,2500,3476,-23.5221576,-46.5307123
Rua da Consolação,Consolação,65,2,0,Apartamento,2100,2831,-23.5480826,-46.6492296
Rua Itamonte,Vila Medeiros,58,3,1,Apartamento,3800,4536,-23.490097,-46.5795333
Rua Sena Madureira,Vila Clementino,68,3,1,Apartamento,5200,6684,-23.5941596,-46.6442194
Rua Cayowaá,Perdizes,83,3,2,Apartamento,3600,5242,-23.5469902,-46.6899356
Rua Cayowaá,Perdizes,68,3,1,Apartamento,3000,4182,-23.5469902,-46.6899356
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,64,2,2,Apartamento,3000,4480,-23.5354605,-46.7184678
Rua Antônio Gomes Ferreira,Sacoma,33,2,0,Apartamento,1700,2095,-23.6339516,-46.5941399
Avenida Padres Olivetanos,Vila Esperança,73,3,1,Apartamento,2700,4093,-23.5298703,-46.5277112
Rua Gabriele D’annunzio,Campo Belo,35,1,1,Studio e kitnet,3800,4637,-23.6187554,-46.6813545
Rua Francisca Júlia,Santana,50,2,1,Apartamento,1900,2685,-23.4933075,-46.6288238
Rua Alves Guimarães,Pinheiros,25,1,0,Studio e kitnet,2500,2986,-23.5516401,-46.6811417
Rua Eugênia Sá Vitale,Vila Santa Luzia,53,2,1,Apartamento,2200,2968,-23.6578984,-46.6063683
Rua Correia Dias,Paraíso,23,1,0,Studio e kitnet,4000,4061,-23.5766041,-46.6400087
Rua Vergueiro,Vila Firmiano Pinto,63,3,1,Apartamento,1500,2732,-23.6058329,-46.6143385
Rua Barata Ribeiro,Bela Vista,16,1,0,Studio e kitnet,3700,4459,-23.5558529,-46.6505512
Rua Doutor Teodoro Baima,República,20,1,0,Apartamento,2500,2912,-23.5469392,-46.6461959
Rua Salto,Paraíso,33,1,1,Studio e kitnet,1850,3340,-21.14968,-48.9698679
Rua Jaguarete,Casa Verde,54,2,1,Apartamento,4200,4954,-23.5108528,-46.6586068
Rua Batataes,Jardim Paulista,34,1,1,Studio e kitnet,4000,5288,-23.5714135,-46.6561708
Rua Fiandeiras,Vila Olímpia,42,1,1,Apartamento,2300,4056,-23.5969974,-46.6764655
Rua Conselheiro Brotero,Santa Cecília,30,1,1,Apartamento,3300,4132,-23.5349412,-46.6601529
Rua Santa Justina,Vila Olímpia,33,1,1,Studio e kitnet,3150,4658,-23.5961613,-46.6797935
Rua Halionore,Vila Prudente,90,2,2,Casa,2715,2830,-23.582472,-46.5841716
Avenida Doutor Cardoso de Melo,Vila Olímpia,43,1,1,Studio e kitnet,3500,4774,-23.6025398,-46.6759245
Rua Barata Ribeiro,Bela Vista,20,1,0,Apartamento,4000,4754,-23.5558529,-46.6505512
Rua Carvalho de Freitas,Vila Andrade,50,2,1,Apartamento,2600,3410,-23.6307193,-46.7403137
Rua Girassol,Vila Madalena,25,1,0,Apartamento,2770,3508,-23.5495771,-46.69301901947137
Avenida dos Carinás,Indianópolis,26,1,0,Apartamento,3500,4235,-23.6132033,-46.6668685
Avenida Vila Ema,Vila Ema,32,1,0,Studio e kitnet,1300,1652,-23.580112,-46.569454
Rua Mundo Novo,Vila Anglo Brasileira,185,2,3,Casa,4579,4888,-23.5389602,-46.6949292
Rua Barata Ribeiro,Bela Vista,18,1,0,Studio e kitnet,4000,4754,-23.5558529,-46.6505512
Rua Domingos Paiva,Brás,39,1,0,Apartamento,2330,2950,-23.5486945,-46.6144899
Alameda Iraé,Indianópolis,25,1,0,Studio e kitnet,3690,4373,-23.6047168,-46.6616965
Rua Nossa Senhora de Fátima,Santa Paula,71,2,2,Apartamento,3800,4536,-23.6220145,-46.5657556
Rua Antônio Píres,Vila Albertina,72,2,1,Apartamento,3082,3801,-23.4567273,-46.6137832
Rua João Biancalana,Paulicéia,62,3,1,Apartamento,1800,2319,-23.6707539,-46.5975444
Rua Itanhaém,Vila Prudente,50,2,1,Apartamento,2100,2915,-23.5821502,-46.575926
Rua Capote Valente,Pinheiros,83,2,1,Apartamento,3200,4131,-23.549881,-46.6809439
"Indianópolis, São Paulo - Sp, 04524-020, Brasil",Indianópolis,24,1,1,Apartamento,3200,4317,-23.600067,-46.659
Rua Ministro Godói,Perdizes,110,3,0,Apartamento,5400,6480,-23.5383278,-46.6723021
Rua Xingu,Vila Valparaíso,60,3,1,Apartamento,1700,2291,-23.6714605,-46.5514111
Rua Hercília,Vila Matilde,69,2,2,Casa,2500,2731,-23.5395069,-46.5268124
Rua Barata Ribeiro,Bela Vista,22,1,0,Studio e kitnet,4000,4754,-23.5558529,-46.6505512
Rua Heloísa Camargo,Vila Esperança,45,1,0,Casa,1250,1371,-23.5262125,-46.5278697
Rua Alves Guimarães,Pinheiros,38,1,1,Apartamento,4300,5485,-23.5516401,-46.6811417
Rua Doutor Gabriel dos Santos,Santa Cecilia,33,1,1,Apartamento,1600,2536,-23.5353346,-46.6592958
Rua Gilberto Sabino,Pinheiros,73,1,2,Apartamento,9500,11210,-23.5651056,-46.701042
Rua Doutor Penaforte Mendes,Bela Vista,29,1,1,Apartamento,2430,3438,-23.5547955,-46.6516181
Rua do Lavapés,Cambuci,26,1,0,Apartamento,1350,1616,-23.5622441,-46.6216806
Rua Delegado Moraes Novaes,Vila Andrade,72,2,2,Apartamento,3000,3919,-23.6342262,-46.7350249
Rua Barão de Iguape,Liberdade,50,2,1,Apartamento,2086,2601,-23.5582387,-46.6371062
Rua Marechal Deodoro,Santa Paula,69,2,2,Apartamento,3550,4268,-23.6174079,-46.5627495
Rua George Smith,Lapa,55,2,1,Apartamento,3200,3932,-23.5178689,-46.7042944
Rua Soldado Teodoro Francisco Ribeiro,Parque Novo Mundo,65,3,1,Apartamento,2000,2748,-23.5162077,-46.5657968
Rua Doutor Clemente Jobim,Jardim da Glória,27,1,0,Studio e kitnet,1902,2365,-23.5819068,-46.6164334
Rua Alexandrino da Silveira Bueno,Cambuci,40,2,0,Apartamento,1600,2007,-23.5658871,-46.6155755
Avenida Salgado Filho,Centro,68,3,1,Apartamento,2100,2750,-23.465254,-46.530225
Rua Otto de Alencar,Liberdade,44,2,1,Apartamento,1700,2266,-23.5590367,-46.6247829
Rua Jaguaré,Jaguaré,58,2,2,Apartamento,2150,2869,-23.5528211,-46.745477
Rua Peixoto Gomide,Jardim Paulista,45,1,0,Studio e kitnet,1600,2044,-23.5608957,-46.6570937
Rua André Saraíva,Vila Sonia,30,1,0,Casa,1150,1199,-23.5920632,-46.7306162
Rua Luís Gama,Cambuci,29,1,0,Studio e kitnet,1550,1910,-23.567857,-46.6114812
Rua Ibitirama,Vila Prudente,55,2,1,Apartamento,2747,3361,-23.5823178,-46.5853328
Rua Cardoso de Almeida,Perdizes,106,3,1,Apartamento,3276,4918,-23.5519203,-46.6758944
Rua Massaranduba,Vila Monte Alegre,38,1,1,Apartamento,2000,2685,-23.6251583,-46.6388264
Rua Itararé,Bela Vista,30,2,0,Apartamento,1643,1898,-23.5551578,-46.6544564
Rua Alves Guimarães,Pinheiros,43,1,1,Apartamento,3900,4865,-23.5516401,-46.6811417
Rua Helena,Vila Olímpia,126,3,3,Apartamento,15000,17410,-23.5931509,-46.6860701
Avenida Cangaíba,Cangaíba,39,2,1,Apartamento,1200,1482,-23.5107548,-46.5405895
Rua João de Godói Moreira,Socorro,56,1,0,Casa,1650,1720,-23.6693083,-46.7203051
Rua Pascal,Campo Belo,35,1,1,Studio e kitnet,3500,4440,-23.6163611,-46.6772909
Rua Martins Fontes,Centro,41,1,1,Apartamento,2800,3638,-23.296155,-45.9473338
Rua Maestro Elias Lobo,Jardim Paulista,78,2,0,Apartamento,4900,5696,-23.5723018,-46.6632378
Praça Alberto Lion,Cambuci,29,1,0,Apartamento,1333,1704,-23.562555,-46.61134046799562
Alameda Iraé,Indianópolis,24,1,0,Studio e kitnet,3300,4017,-23.6047168,-46.6616965
Rua Guaicurus,Água Branca,29,1,0,Apartamento,2000,2327,-23.5206245,-46.7009725
Rua Acaraú,Bela Vista,33,1,0,Apartamento,2150,2681,-23.5538741,-46.6488892
Rua Coronel Luís Barroso,Santo Amaro,33,1,1,Studio e kitnet,2800,3396,-23.6471119,-46.7049816
Rua Paim,Bela Vista,36,1,1,Apartamento,2800,3445,-23.5548176,-46.6490388
Rua Catumbi,Catumbi,48,2,1,Apartamento,1900,2474,-23.534239,-46.600548
Rua Padre Mariano Ronchi,Vila Pereira Cerca,46,2,1,Apartamento,1150,2044,-23.4929871,-46.7109811
Rua Fernando Dondon,Tatuapé,30,1,0,Studio e kitnet,1550,1662,-23.5464234,-46.5620488
Rua Doutor Augusto de Miranda,Vila Pompéia,42,1,1,Studio e kitnet,4750,5959,-23.5326085,-46.6912451
Avenida Nove de Julho,Bela Vista,30,1,0,Studio e kitnet,2000,2342,-23.5606299,-46.6551101
Rua Gabriele D'annunzio,Campo Belo,37,1,1,Studio e kitnet,3500,4276,-23.6187554,-46.6813545
Rua Frei Caneca,Consolação,40,1,0,Apartamento,2527,3065,-23.5531867,-46.6521291
Avenida Jabaquara,Mirandópolis,26,1,0,Studio e kitnet,2188,2786,-23.6152422,-46.6385731
Rua Ciro Costa,Perdizes,32,1,1,Studio e kitnet,2750,3607,-23.531786,-46.6750583
Rua Conselheiro Ramalho,Bela Vista,32,1,0,Studio e kitnet,1700,2176,-23.5577177,-46.6443949
Rua Saint Hilaire,Jardim Paulista,32,1,1,Studio e kitnet,2100,2879,-23.571067,-46.6539054
Rua Alves Guimarães,Pinheiros,25,1,0,Apartamento,3100,3650,-23.5516401,-46.6811417
Avenida Francisco Matarazzo,Barra Funda,30,1,0,Apartamento,1600,2131,-23.5266918,-46.6731084
Rua Fradique Coutinho,Pinheiros,82,2,0,Casa,4000,4614,-23.562644,-46.6868335
Rua Guaicurus,Água Branca,28,1,0,Studio e kitnet,2400,2793,-23.5206245,-46.7009725
Rua Cantori,Vila Andrade,41,2,0,Apartamento,1300,1750,-23.632794,-46.7407487
Rua Coronel Deraldo Jordão,Vila Firmiano Pinto,90,2,2,Apartamento,5200,6574,-23.6002693,-46.6193007
Avenida Sapopemba,Sapopemba,56,2,1,Apartamento,2200,2842,-23.5992902,-46.5151113
Rua Gaspar Lourenço,Vila Mariana,50,2,0,Apartamento,3600,4289,-23.5825623,-46.63079
Rua Engenheiro Bianor,Butantã,45,2,1,Apartamento,3850,4723,-23.5713457,-46.7078925
Rua Alves Guimarães,Pinheiros,33,1,0,Apartamento,3100,3677,-23.5516401,-46.6811417
Rua Farjalla Koraicho,Jabaquara,91,2,1,Casa,2700,2814,-23.6426728,-46.643604
Rua Ouvidor Portugal,Vila Monumento,35,1,1,Apartamento,1800,2332,-23.57466,-46.6116588
"Rua Sete Barras, 268",Nossa Senhora do Ó,65,3,1,Apartamento,2250,2854,-23.4988042,-46.7052212
Avenida Jabaquara,Mirandópolis,27,1,0,Studio e kitnet,2800,3363,-23.6152422,-46.6385731
Rua Professor Aprígio Gonzaga,São Judas,65,2,1,Apartamento,3500,4529,-23.6247342,-46.6338891
Rua Humberto I,Vila Mariana,21,1,0,Studio e kitnet,3400,4053,-23.5871207,-46.6407645
Rua Cunha Gago,Pinheiros,31,1,1,Apartamento,2300,3151,-23.5625079,-46.693739
Avenida Marechal Mario Guedes,Jaguaré,70,2,1,Apartamento,2700,3686,-23.549129,-46.7359309
