address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,,
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,-23.4686737,-46.5389806
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018,,
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958,,
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,,
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,-23.6141848,-46.6094387
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594,,
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,,
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245,,
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771,,
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955,-23.490097,-46.5795333
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153,,
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249,-23.5474342,-46.6251643
Rua Cônego Vicente Miguel Marino,Barra Funda,33,1,0,Apartamento,2200,2624,,
Rua Salvador Gaeta,Vila Augusta,68,2,2,Casa,2426,2574,-23.4797721,-46.5467188
Rua Casa do Ator,Vila Olímpia,69,2,1,Apartamento,2910,3970,-23.5989412,-46.678818
Av.nove de Julho,Bela Vista,25,1,0,Apartamento,2500,3008,-23.5606299,-46.6551101
Rua Joaquim Afonso de Souza,Vila Celeste,110,2,0,Casa,1300,1355,,
Rua Glória do Goitá 335 Apt 112,Jardim Independência,29,1,0,Studio e kitnet,1180,1411,,
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712,-23.5461441,-46.6178889
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882,-23.5451183,-46.5744197
Rua das Palmeiras,Vila Buarque,11,1,0,Studio e kitnet,1560,1904,,
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715,-23.6594912,-46.5601745
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700,,
Rua Sebastião Mariano,Vila Carlos de Campos,60,2,1,Casa,1600,1668,,
Avenida Vila Ema,Vila Prudente,56,2,1,Apartamento,1890,2222,-23.5814401,-46.5633364
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354,-23.636283,-46.7352712
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580,,
Rua Tanque Velho,Vila Nivi,45,1,0,Casa,500,551,,
Rua Itiúba,Vila Celeste,47,2,0,Casa,1589,1799,,
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232,,
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416,-23.5037826,-46.5520524
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879,-23.6780367,-46.5175348
Rua Sampaio Corrêa,Jardim Pereira Leite,46,2,0,Apartamento,900,1075,,
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575,-23.6153367,-46.5216801
Avenida São João,República,31,1,0,Apartamento,1300,1350,-23.5397579,-46.6448726
Rua Elísio de Carvalho,Vila São Luís(zona Oeste),12,1,0,Apartamento,1122,1208,,
Rua Arruda Ferreira,Vila Guilherme,20,1,0,Apartamento,1100,1230,-23.5129224,-46.6084788
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393,-23.5379264,-46.6370485
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773,-23.5841611,-46.5758843
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110,-23.4604137,-46.5589656
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950,,
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782,-23.5798817,-46.6154177
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102,,
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928,,
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066,-23.651843,-46.5436217
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162,,
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857,-23.4439345,-46.5445973
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126,-23.59294,-46.5565614
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529,-23.6151641,-46.5995056
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416,-23.5125174,-46.6066366
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016,-23.548639,-46.6163579
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327,-23.5564179,-46.6341737
Rua Sete Barras,Vila Moinho Velho,70,2,1,Apartamento,3218,3832,,
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672,-23.5347406,-46.5628588
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486,-23.6136667,-46.5971237
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953,,
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855,,
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194,-23.5676498,-46.6229699
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,31,1,0,Apartamento,2100,2429,,
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217,,
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795,,
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928,-23.5362241,-46.5398327
Rua Doutor Artur Rudge Ramos,Vila Caminho do Mar,98,2,1,Casa,1700,1841,,
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053,-23.6140288,-46.5982077
Rua Nossa Senhora Acheropita,Vila Santa Clara,42,1,1,Casa,1600,1715,,
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625,,
Avenida dos Ourives,Jardim São Savério,41,2,0,Apartamento,1300,1750,,
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913,-23.5562916,-46.601464
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495,-23.4647321,-46.5129203
Rua Abrahão Calux,Vila Moinho Velho,59,2,1,Apartamento,2200,2861,,
Avenida Prestes Maia,Centro,37,1,0,Studio e kitnet,1100,1918,-23.6256228,-45.4144986
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674,-23.6212296,-46.6255767
Rua Afonso Morsch,Vila Constança,75,2,1,Casa em condomínio,4000,4067,,
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166,,
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052,-23.59294,-46.5565614
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492,-23.6339516,-46.5941399
Rua Jovina Maria de Jesus,Jardim das Acácias,209,4,2,Casa,6950,7722,,
Rua Capitao Avelino Carneiro,Penha de França,37,1,0,Apartamento,1490,2017,-23.5229661,-46.5486402
Rua Maria José Rangel,Vila São Paulo,65,2,1,Casa,2200,2293,-23.6560774,-46.6711726
Rua Doutor Ferreira Lopes,Vila Sofia,70,3,2,Apartamento,2100,3315,,
Rua Edmundo Luís de Nóbrega Teixeira,Campo Grande,114,4,2,Casa,3500,3998,-23.6679817,-46.6828891
Rua Oscar Freire,Cerqueira César,55,2,0,Apartamento,3950,5097,-23.5650996,-46.66673
Rua Almirante Brasil,Mooca,50,2,1,Apartamento,1700,2424,-23.5505419,-46.6074398
Avenida Yervant Kissajikian,Vila Constança,59,3,1,Apartamento,2100,2573,,
Rua Professor José Miziara,Santa Teresinha,55,2,1,Apartamento,1900,2532,-23.4897222,-46.6391261
Avenida Diógenes Ribeiro de Lima,Alto da Lapa,70,2,1,Apartamento,2450,2955,-23.5354605,-46.7184678
Rua Iguaré,Tatuapé,54,2,1,Apartamento,1400,2069,-23.531759,-46.5827501
Rua Diogo de Oliveira,Sítio do Morro,50,2,0,Apartamento,1590,1852,,
Rua Votupoca,Vila Ipojuca,90,4,2,Apartamento,4200,5668,-23.5330242,-46.704804
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,30,1,0,Apartamento,2122,2453,,
Avenida Miguel Frias E Vasconcelos,Jaguaré,80,2,0,Apartamento,3200,4187,-23.5544759,-46.7427941
Avenida Santa Marina,Água Branca,78,2,2,Apartamento,4000,4712,-23.5158485,-46.6909303
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853,,
Rua Ponte Pensa,Parada Inglesa,37,2,0,Apartamento,1650,1949,-23.4843493,-46.6051691
Rua Speers,Vila Sao Pedro,15,1,0,Studio e kitnet,950,1487,-23.6424873,-46.5286875
Rua João Adolfo,Centro,26,1,0,Studio e kitnet,1750,2194,-23.5809871,-48.0364038
Rua Bento Freitas,República,29,1,0,Studio e kitnet,1300,1682,-23.545592,-46.6455747
Rua Jesuíno Rabello,Vila Milton,60,2,1,Apartamento,1683,2159,,
Avenida Bartholomeu de Carlos,Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554,2238,,
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962,,
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467,-23.5564177,-46.6618937
Avenida Benigno Carrera,Vila Campestre,35,1,0,Casa,874,961,,
Avenida Tiradentes,Luz,48,2,1,Apartamento,2860,3406,-23.5310788,-46.6321542
Rua do Chico Nunes,Vila Andrade,36,2,0,Apartamento,980,1138,,
Rua Frei Gaspar,Mooca,33,1,0,Apartamento,3100,3600,-23.5483636,-46.6062813
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),40,2,0,Apartamento,1101,1443,,
Rua Pedro de Melo Sousa,Vila Arcadia,39,1,0,Casa,938,1019,,
Rua Joaquim Oliveira Freitas,Vila Mangalot,51,2,1,Apartamento,920,1572,-23.4923992,-46.7451314
Avenida Senador José Ermírio de Moraes,Tremembé,62,2,1,Apartamento,2300,2952,-23.4524981,-46.6145939
Rua Domingos Lopes da Silva,Vila Suzana,35,1,1,Apartamento,959,1840,,
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142,-23.5402087,-46.6374753
Rua Porto de Palos,Jardim Peri,41,2,0,Apartamento,1000,1408,,
Rua Fernando Dondon,Tatuapé,24,1,0,Studio e kitnet,1600,1964,-23.5464234,-46.5620488
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,Apartamento,1500,1728,-23.5340441,-46.5426343
Rua Conselheiro Ramalho,Bela Vista,26,1,0,Studio e kitnet,1953,2338,-23.5577177,-46.6443949
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019,-23.4793839,-46.6090902
Rua Conselheiro Lafaiette,Mooca,30,1,0,Apartamento,1635,2033,,
Rua Barão de Campinas,Campos Elíseos,12,1,0,Studio e kitnet,900,1125,-23.1896119,-46.9015053
Rua Maria Zélia,Piqueri,41,1,1,Casa,1550,1624,-23.5030391,-46.7122887
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,Studio e kitnet,1350,1502,-23.5817944,-46.5804169
Avenida Ajarani,Cidade Patriarca,44,2,1,Apartamento,1800,2527,-23.5408435,-46.51231
Rua Antônio de Macedo Soares,Campo Belo,50,1,1,Apartamento,3350,4029,-23.6242797,-46.6770146
Rua Martins Fontes,Centro,30,1,0,Apartamento,2600,3100,-23.296155,-45.9473338
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,46,2,0,Apartamento,1400,1758,,
Avenida Nossa Senhora do Sabará,Vila Sofia,69,2,1,Apartamento,2170,3053,,
Rua Raul Bispo dos Santos,Vila Pedra Branca,60,1,0,Casa,1100,1156,,
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767,-23.536349,-46.6566334
Avenida Aparecida do Rio Negro,Jardim Peri,43,2,1,Apartamento,1732,2078,,
Rua Desembargador Aragão,Vila Mariana,40,1,1,Studio e kitnet,4900,5471,-23.5931034,-46.6310962
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000,2754,,
Rua Antônio Gomes Ferreira,Sacomã,32,2,0,Apartamento,1350,1652,-23.6339516,-46.5941399
Rua Iquiririm,Vila Indiana,28,1,0,Studio e kitnet,1426,1928,,
Rua Anhanguera,Barra Funda,69,2,2,Apartamento,5390,6182,,
Rua Manuel Leiroz,Vila Penteado,41,2,0,Apartamento,1500,1958,,
Praça Doutor Mário Margarido,Liberdade,30,1,0,Apartamento,1092,1474,,
Rua José Arzão,Vila Andrade,51,2,0,Apartamento,2480,3529,-23.6188296,-46.7448433
Avenida Padre Arlindo Vieira,Vila Vermelha,71,3,2,Apartamento,1900,2941,,
Rua Luís Filipe Alberti,Jardim Maringá,41,2,1,Apartamento,1400,1951,,
Rua Augusto Farina,Jardim Bonfiglioli,30,1,0,Studio e kitnet,1260,1338,,
Rua João José Pacheco,Jardim Vila Mariana,22,0,0,Studio e kitnet,2200,2808,-23.593823,-46.62384
Rua Coronel Mursa,Brás,20,1,1,Apartamento,2600,2886,-23.548639,-46.6163579
Rua Pangaré,Vila Butantã,38,2,1,Apartamento,1995,2572,,
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,Apartamento,1400,1754,,
Avenida do Cursino,Vila Gumercindo,72,3,2,Apartamento,4000,4154,-23.6056639,-46.6161616
Avenida Paes de Barros,Mooca,98,3,1,Apartamento,3000,3889,-23.5675099,-46.5911401
Avenida Engenheiro Thomaz Magalhães,Sítio da Figueira,55,2,1,Apartamento,1750,2168,,
Rua Bento Vieira,Ipiranga,55,2,1,Apartamento,2350,3310,-23.5791229,-46.6036719
Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,-23.5577926,-46.6738109
Rua Francisco Luiz de Souza Júnior,Água Branca,44,2,0,Apartamento,1750,2178,,
Rua Heitor Penteado,Sumarezinho,55,2,1,Apartamento,2300,3039,-23.5461784,-46.6911614
Rua Henrique Sertório,Tatuapé,24,1,0,Studio e kitnet,1900,2430,-23.5394195,-46.5782329
Largo do Arouche,República,30,1,0,Studio e kitnet,2390,3113,-23.5410441,-46.64537328059034
Rua Alfredo Pujol,Santana,26,1,0,Studio e kitnet,2500,2940,-23.5001965,-46.6310225
Rua Gravi,Vila da Saúde,35,1,0,Casa,1400,1424,-23.6125702,-46.6373773
Rua Guaraja,Vila Mazzei,70,2,1,Apartamento,1600,2131,-23.4736287,-46.6010535
Rua Padre Lebret,Jardim Leonor,87,1,2,Apartamento,4500,6010,,
Avenida João Dias,Santo Amaro,67,2,1,Apartamento,1900,2964,-23.6461864,-46.708651
Rua Cristóvão Colombo,Jardim Vila Galvão,45,2,1,Apartamento,1443,1934,-23.4621257,-46.5589622
Rua Capitão Teófilo,Centro,94,3,1,Apartamento,2200,2926,-23.4684118,-46.5315749
Rua Avanhandava,Bela Vista,24,1,0,Studio e kitnet,2350,2892,-23.5523179,-46.6480901
Avenida Nove de Julho,Bela Vista,26,1,0,Studio e kitnet,1250,1629,-23.5606299,-46.6551101
Rua Catulo da Paixão Cearense,Vila da Saúde,75,3,2,Apartamento,3700,5068,-23.6143354,-46.6290832
Avenida Raimundo Pereira de Magalhães,Jardim Iris,45,2,0,Apartamento,3000,3621,,
Rua Jequitinhonha,Campestre,85,3,2,Apartamento,2047,2691,-23.6393171,-46.5482293
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,14,1,0,Studio e kitnet,1750,1818,,
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169,,
Avenida do Cursino,Vila Moraes,63,2,1,Apartamento,2400,2993,,
Avenida Carlos Ferreira Endres,Vila Endres,50,1,0,Apartamento,916,1000,,
Rua dos Democratas,Vila Monte Alegre,48,2,1,Apartamento,1900,2774,-23.6289782,-46.6330698
Rua Dom Estevão Pimentel,Chácara Belenzinho,56,3,1,Apartamento,2000,2937,,
Rua Álvaro de Carvalho,Centro,26,1,0,Studio e kitnet,2450,2995,-22.7391165,-47.6482136
Avenida dos Ourives,Jardim Sao Saverio,43,2,0,Apartamento,1300,1700,,
Avenida Piassanguaba,Planalto Paulista,27,1,0,Casa,1200,1343,,
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,Apartamento,1481,1788,-23.5340441,-46.5426343
Rua Dom Paulo Pedrosa,Real Parque,80,1,1,Apartamento,3000,4206,,
Rua Gomes de Carvalho,Vila Olímpia,75,3,1,Apartamento,3200,4253,-23.5948667,-46.6896067
Rua Camargo Aranha,Pacaembu,350,4,2,Casa,10400,11660,,
Rua Álvaro de Carvalho,Centro,37,2,0,Apartamento,2500,3220,-22.7391165,-47.6482136
Rua 17 de Janeiro,Paraíso do Morumbi,24,1,0,Apartamento,1100,1442,,
Rua Helvétia,Campos Elíseos,45,1,1,Apartamento,3100,3862,,
Rua Gravataí,Consolação,24,1,0,Studio e kitnet,3000,3575,-23.5488591,-46.647762
Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,-23.566351,-46.6856195
Rua Paim,Bela Vista,50,1,1,Apartamento,4000,4918,-23.5548176,-46.6490388
Rua Cásper Líbero,Paulicéia,65,3,1,Apartamento,1560,2361,-23.6685168,-46.5914282
Rua Armando Pinelli,Taboão,54,2,1,Apartamento,1100,1743,-23.6647543,-46.6091429
Rua José Bento,Cambuci,41,2,0,Apartamento,2090,2511,-23.5634221,-46.6164939
Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018,-23.5516401,-46.6811417
Rua Conde de São Joaquim,Bela Vista,35,1,1,Apartamento,1600,2490,-23.5560084,-46.6395825
Praça Alberto Lion,Cambuci,34,2,0,Apartamento,1443,1829,-23.562555,-46.61134046799562
Rua Francisca Augusta da Rocha,Jardim Mariliza,42,2,0,Casa,1000,1126,,
Rua Danton Vampre,Jardim Maringá,150,3,1,Casa,1880,1960,,
Avenida Francisco Rodrigues,Vila Constança,64,2,1,Casa em condomínio,2200,2413,,
Rua Paulistânia,Sumarezinho,31,1,0,Studio e kitnet,2620,3191,-23.5467932,-46.6921502
Rua Marie Nader Calfat,Jardim Ampliação,38,1,1,Studio e kitnet,2400,3014,,
Praça Conde Pedro Leonelli,Vila Rosália,57,2,1,Apartamento,1750,2298,-23.44831115,-46.556695993193216
Rua Adele Zarzur,Jardim São José (zona Norte),50,1,0,Casa,850,887,,
Rua José Pereira Barreto,Jardim Clímax,45,1,1,Casa,1200,1251,,
Rua Santo Antônio,Bela Vista,29,1,0,Apartamento,1700,2199,-22.5959374,-46.5169555
Rua Santo Antônio,Bela Vista,37,2,0,Apartamento,2200,2814,-22.5959374,-46.5169555
Rua Rocha,Bela Vista,29,1,0,Studio e kitnet,1400,1721,-23.5562382,-46.6498965
Rua Itajaí,Mooca,76,3,1,Apartamento,4200,5319,-23.5507791,-46.6008872
Rua Araguaia,Vila Curuca,64,2,1,Apartamento,3600,4459,-23.6446692,-46.5188522
Rua Barbalha,Alto da Lapa,14,1,0,Studio e kitnet,700,811,,
Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677,-23.5703061,-46.7001637
Rodovia Raposo Tavares,Jardim Olympia,55,2,1,Apartamento,1800,2489,,
Rua das Palmeiras,Vila Buarque,12,1,0,Apartamento,2400,2855,,
Rua Pascoal Ranieri Mazzilli,Vila Mendes,67,2,1,Apartamento,2448,3169,,
Avenida Condessa Elizabeth de Robiano,Penha de França,62,3,1,Apartamento,2100,2731,,
Avenida Leonardo da Vinci,Vila Guarani (z Sul),50,2,1,Apartamento,1450,2416,,
Rua Bento Freitas,República,22,1,0,Studio e kitnet,2800,3329,-23.545592,-46.6455747
Rua Desembargador Euclides da Silveira,Casa Verde,49,1,1,Apartamento,3500,4188,-23.507761,-46.6517593
Rua Ribeiro do Vale,Brooklin Paulista,35,1,0,Studio e kitnet,3700,4384,,
Rua Palestina,Vila Mascote,130,3,1,Casa,4000,4311,-23.644053,-46.6682892
Avenida João Pessoa,Jardim Utinga,62,2,1,Apartamento,1900,2406,-23.6191869,-46.5228999
Avenida Vereador José Diniz,Santo Amaro,25,1,0,Studio e kitnet,2600,3048,-23.6272108,-46.6845584
Rua José Mandotti,Vila Augusta,25,1,1,Studio e kitnet,1800,2418,,
Rua Joaquim Rodrigues Costa,Vila Maria Alta,25,2,0,Casa,1001,1043,,
Avenida Cásper Líbero,Centro,27,1,0,Studio e kitnet,2000,2577,,
Avenida Giovanni Gronchi,Vila Andrade,98,3,2,Apartamento,2442,4507,-23.6277588,-46.7358968
Rua Bispo Eugênio Demazemod 388 Apto 61,Vila Alpina,49,2,1,Apartamento,1050,1620,,
Rua Rego Freitas,República,20,1,0,Studio e kitnet,1640,2133,-23.5446445,-46.6466037
Rua Bela Cintra,Consolação,48,1,1,Apartamento,2600,3597,-23.5564177,-46.6618937
Rua Guaianases,Campos Elíseos,38,1,1,Apartamento,1500,1998,,
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428,,
Rua Xavier Krauss,Vila Leopoldina,35,2,0,Apartamento,2550,3017,,
Rua Pamplona,Cerqueira César,49,1,1,Apartamento,3000,3967,-23.5637036,-46.6537602
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,64,2,1,Apartamento,1550,2060,,
Rua Dona Elisa,Barra Funda,70,3,1,Apartamento,4800,5790,-23.5297569,-46.6630989
Rua Cônego Vicente Miguel Marino,Barra Funda,99,3,2,Apartamento,4500,5566,,
Rua Frei Caneca,Consolação,28,1,0,Studio e kitnet,1700,2366,-23.5531867,-46.6521291
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137,,
Rua Arnaldo Cintra,Vila Moreira,49,2,1,Apartamento,1995,2636,,
Rua Otto de Barros,Vila Santo Estéfano,58,2,2,Apartamento,2120,3223,-23.6234508,-46.6268146
Rua Santa Izabel,Vila Augusta,66,2,2,Apartamento,2600,3254,-23.477748,-46.5417244
Rua São Miguel,Bela Vista,35,1,1,Apartamento,2500,3296,-23.5551069,-46.6545922
Rua Riskallah Jorge,Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207,1647,,
Rua Nanuque,Vila Leopoldina,115,3,2,Apartamento,4450,6177,-23.5291752,-46.7273705
Rua Olímpia de Almeida Prado,Barra Funda,33,1,1,Studio e kitnet,2550,3286,,
Rua do Lavapés,Cambuci,45,2,0,Apartamento,2500,3046,-23.5622441,-46.6216806
Rua São Venceslau,Vila Guarani (z Sul),53,2,1,Apartamento,1900,2774,,
Rua Doutor Cesário Mota Júnior,Vila Buarque,30,1,0,Studio e kitnet,1350,1830,,
Avenida Deputado Emílio Carlos,Limão,49,2,1,Apartamento,1900,2359,-23.4986241,-46.6751539
Rua Caio Prado,Consolação,24,1,0,Studio e kitnet,4300,4765,-23.547932,-46.6490342
Avenida Joaquina Ramalho,Vila Guilherme,60,3,1,Apartamento,3000,3845,-23.5125174,-46.6066366
Rua Amandaú,Tucuruvi,35,2,0,Apartamento,2500,2976,-23.4891168,-46.6081076
Rua Conselheiro Lafaiette,Mooca,45,2,0,Apartamento,2400,2993,,
Rua Cardoso de Almeida,Perdizes,33,1,0,Apartamento,3000,4039,-23.5519203,-46.6758944
Rua Leandro Dupré,Vila Clementino,15,1,0,Studio e kitnet,1000,1038,-23.5967275,-46.6465525
Rua Leôncio da Costa Vieira,Jardim Piqueroby,41,2,0,Studio e kitnet,2900,3142,,
Avenida Mascote,Vila Mascote,86,2,2,Apartamento,4800,5935,-23.6466389,-46.6703112
Rua Bela Cintra,Consolação,51,1,1,Apartamento,4000,5189,-23.5564177,-46.6618937
Rua Gomes de Carvalho,Vila Olímpia,30,1,1,Studio e kitnet,3000,3751,-23.5948667,-46.6896067
Avenida Vereador José Diniz,Santo Amaro,47,1,1,Apartamento,2799,3526,-23.6272108,-46.6845584
Rua Batataes,Jardim Paulista,54,1,2,Apartamento,3466,6316,-23.5714135,-46.6561708
Rua Augusta,Cerqueira César,35,1,1,Apartamento,2800,3661,-23.5612183,-46.6634607
Rua Cardoso de Almeida,Perdizes,33,1,0,Studio e kitnet,3000,4116,-23.5519203,-46.6758944
Rua Doutor Plínio Barreto,Bela Vista,60,2,1,Apartamento,5500,6504,-23.5575749,-46.6521241
Rua Azevedo Soares,Vila Gomes Cardim,82,3,1,Apartamento,3000,4040,-23.5500163,-46.5721621
Rua Luís Correia de Melo,Vila Cruzeiro,58,2,1,Apartamento,3500,4479,,
R. Mal. Barbacena,Jardim Anália Franco,78,1,1,Apartamento,3950,5182,,
Rua Marília de Dirceu,Jardim Aeroporto,200,2,1,Casa,8000,8398,,
Rua Marie Nader Calfat 270,Jardim Ampliação,32,1,0,Studio e kitnet,2370,2962,,
Avenida Amador Bueno da Veiga,Penha de França,58,2,1,Apartamento,2500,3476,-23.5221576,-46.5307123
Rua da Consolação,Consolação,65,2,0,Apartamento,2100,2831,-23.5480826,-46.6492296
Rua Itamonte,Vila Medeiros,58,3,1,Apartamento,3800,4536,-23.490097,-46.5795333
Rua Sena Madureira,Vila Clementino,68,3,1,Apartamento,5200,6684,-23.5941596,-46.6442194
