address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Nossa Senhora Acheropita,Vila Santa Clara,42,1,1,Casa,1600,1715,,
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625,,
Avenida dos Ourives,Jardim São Savério,41,2,0,Apartamento,1300,1750,,
Rua Abrahão Calux,Vila Moinho Velho,59,2,1,Apartamento,2200,2861,,
Rua Afonso Morsch,Vila Constança,75,2,1,Casa em condomínio,4000,4067,,
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166,,
Rua Jovina Maria de Jesus,Jardim das Acácias,209,4,2,Casa,6950,7722,,
Rua Doutor Ferreira Lopes,Vila Sofia,70,3,2,Apartamento,2100,3315,,
Avenida Yervant Kissajikian,Vila Constança,59,3,1,Apartamento,2100,2573,,
Rua Diogo de Oliveira,Sítio do Morro,50,2,0,Apartamento,1590,1852,,
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,30,1,0,Apartamento,2122,2453,,
Rua Erva Imperial,Vila Alpina,45,2,1,Apartamento,1404,1853,,
Rua Jesuíno Rabello,Vila Milton,60,2,1,Apartamento,1683,2159,,
Avenida Bartholomeu de Carlos,Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554,2238,,
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962,,
Avenida Benigno Carrera,Vila Campestre,35,1,0,Casa,874,961,,
Rua do Chico Nunes,Vila Andrade,36,2,0,Apartamento,980,1138,,
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),40,2,0,Apartamento,1101,1443,,
Rua Pedro de Melo Sousa,Vila Arcadia,39,1,0,Casa,938,1019,,
Rua Domingos Lopes da Silva,Vila Suzana,35,1,1,Apartamento,959,1840,,
Rua Porto de Palos,Jardim Peri,41,2,0,Apartamento,1000,1408,,
Rua Conselheiro Lafaiette,Mooca,30,1,0,Apartamento,1635,2033,,
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,46,2,0,Apartamento,1400,1758,,
Avenida Nossa Senhora do Sabará,Vila Sofia,69,2,1,Apartamento,2170,3053,,
Rua Raul Bispo dos Santos,Vila Pedra Branca,60,1,0,Casa,1100,1156,,
Avenida Aparecida do Rio Negro,Jardim Peri,43,2,1,Apartamento,1732,2078,,
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000,2754,,
Rua Iquiririm,Vila Indiana,28,1,0,Studio e kitnet,1426,1928,,
Rua Anhanguera,Barra Funda,69,2,2,Apartamento,5390,6182,,
Rua Manuel Leiroz,Vila Penteado,41,2,0,Apartamento,1500,1958,,
Praça Doutor Mário Margarido,Liberdade,30,1,0,Apartamento,1092,1474,,
Avenida Padre Arlindo Vieira,Vila Vermelha,71,3,2,Apartamento,1900,2941,,
Rua Luís Filipe Alberti,Jardim Maringá,41,2,1,Apartamento,1400,1951,,
Rua Augusto Farina,Jardim Bonfiglioli,30,1,0,Studio e kitnet,1260,1338,,
Rua Pangaré,Vila Butantã,38,2,1,Apartamento,1995,2572,,
Rua Bartholomeu do Canto,Vila Palmeiras,34,2,0,Apartamento,1400,1754,,
Avenida Engenheiro Thomaz Magalhães,Sítio da Figueira,55,2,1,Apartamento,1750,2168,,
Rua Francisco Luiz de Souza Júnior,Água Branca,44,2,0,Apartamento,1750,2178,,
Rua Padre Lebret,Jardim Leonor,87,1,2,Apartamento,4500,6010,,
Avenida Raimundo Pereira de Magalhães,Jardim Iris,45,2,0,Apartamento,3000,3621,,
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,14,1,0,Studio e kitnet,1750,1818,,
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169,,
Avenida do Cursino,Vila Moraes,63,2,1,Apartamento,2400,2993,,
Avenida Carlos Ferreira Endres,Vila Endres,50,1,0,Apartamento,916,1000,,
Rua Dom Estevão Pimentel,Chácara Belenzinho,56,3,1,Apartamento,2000,2937,,
Avenida dos Ourives,Jardim Sao Saverio,43,2,0,Apartamento,1300,1700,,
Avenida Piassanguaba,Planalto Paulista,27,1,0,Casa,1200,1343,,
Rua Dom Paulo Pedrosa,Real Parque,80,1,1,Apartamento,3000,4206,,
Rua Camargo Aranha,Pacaembu,350,4,2,Casa,10400,11660,,
Rua 17 de Janeiro,Paraíso do Morumbi,24,1,0,Apartamento,1100,1442,,
Rua Helvétia,Campos Elíseos,45,1,1,Apartamento,3100,3862,,
Rua Francisca Augusta da Rocha,Jardim Mariliza,42,2,0,Casa,1000,1126,,
Rua Danton Vampre,Jardim Maringá,150,3,1,Casa,1880,1960,,
Avenida Francisco Rodrigues,Vila Constança,64,2,1,Casa em condomínio,2200,2413,,
Rua Marie Nader Calfat,Jardim Ampliação,38,1,1,Studio e kitnet,2400,3014,,
Rua Adele Zarzur,Jardim São José (zona Norte),50,1,0,Casa,850,887,,
Rua José Pereira Barreto,Jardim Clímax,45,1,1,Casa,1200,1251,,
Rua Barbalha,Alto da Lapa,14,1,0,Studio e kitnet,700,811,,
Rodovia Raposo Tavares,Jardim Olympia,55,2,1,Apartamento,1800,2489,,
Rua das Palmeiras,Vila Buarque,12,1,0,Apartamento,2400,2855,,
Rua Pascoal Ranieri Mazzilli,Vila Mendes,67,2,1,Apartamento,2448,3169,,
Avenida Condessa Elizabeth de Robiano,Penha de França,62,3,1,Apartamento,2100,2731,,
Avenida Leonardo da Vinci,Vila Guarani (z Sul),50,2,1,Apartamento,1450,2416,,
Rua Ribeiro do Vale,Brooklin Paulista,35,1,0,Studio e kitnet,3700,4384,,
Rua José Mandotti,Vila Augusta,25,1,1,Studio e kitnet,1800,2418,,
Rua Joaquim Rodrigues Costa,Vila Maria Alta,25,2,0,Casa,1001,1043,,
Avenida Cásper Líbero,Centro,27,1,0,Studio e kitnet,2000,2577,,
Rua Bispo Eugênio Demazemod 388 Apto 61,Vila Alpina,49,2,1,Apartamento,1050,1620,,
Rua Guaianases,Campos Elíseos,38,1,1,Apartamento,1500,1998,,
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428,,
Rua Xavier Krauss,Vila Leopoldina,35,2,0,Apartamento,2550,3017,,
Rua Professor Arnaldo João Semeraro,Jardim Santa Emilia,64,2,1,Apartamento,1550,2060,,
Rua Cônego Vicente Miguel Marino,Barra Funda,99,3,2,Apartamento,4500,5566,,
Rua Gustavo da Silveira,Vila Santa Catarina,160,4,1,Casa,3000,3137,,
Rua Arnaldo Cintra,Vila Moreira,49,2,1,Apartamento,1995,2636,,
Rua Riskallah Jorge,Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207,1647,,
Rua Olímpia de Almeida Prado,Barra Funda,33,1,1,Studio e kitnet,2550,3286,,
Rua São Venceslau,Vila Guarani (z Sul),53,2,1,Apartamento,1900,2774,,
Rua Doutor Cesário Mota Júnior,Vila Buarque,30,1,0,Studio e kitnet,1350,1830,,
Rua Conselheiro Lafaiette,Mooca,45,2,0,Apartamento,2400,2993,,
Rua Leôncio da Costa Vieira,Jardim Piqueroby,41,2,0,Studio e kitnet,2900,3142,,
Rua Luís Correia de Melo,Vila Cruzeiro,58,2,1,Apartamento,3500,4479,,
R. Mal. Barbacena,Jardim Anália Franco,78,1,1,Apartamento,3950,5182,,
Rua Marília de Dirceu,Jardim Aeroporto,200,2,1,Casa,8000,8398,,
Rua Marie Nader Calfat 270,Jardim Ampliação,32,1,0,Studio e kitnet,2370,2962,,
Rua Engenheiro Isaac Garcêz,Rudge Ramos,184,3,2,Apartamento,3800,4626,,
Rua Bruno Cavalcanti Feder,Quinta da Paineira,50,2,1,Apartamento,1700,2321,,
Rua Elza Guimarães,Vila Amália (zona Norte),48,2,0,Apartamento,1100,1542,,
Rua Franklin Magalhães,Vila Santa Catarina,15,1,0,Casa,750,846,,
Rua Delfina da Cunha,Jardim Hercilia,30,2,2,Casa,2430,2725,,
Rua Doutor Gabriel de Resende Filho,Chora Menino,25,2,0,Apartamento,1400,1614,,
Rua Nicolau Barreto,Vila Cordeiro,50,1,1,Apartamento,5400,6258,,
Rua Malie Brenner,Vila Dom Pedro Ii,32,1,0,Apartamento,1600,1871,,
Avenida Duque de Caxias,Campos Elíseos,36,1,1,Apartamento,2200,3232,,
Rua Vicente Ferreira Leite,Vila Siqueira (zona Norte),47,2,1,Apartamento,1650,2187,,
Rua Kansas,Brooklin Paulista,84,2,2,Apartamento,7990,9832,,
Rua Oiti,Alto da Mooca,80,3,2,Apartamento,2250,3860,,
Rua Dr. Laerte Sertuba,Vila Suzana,67,3,1,Apartamento,1600,2364,,
Avenida Sapopemba,Jardim Planalto,35,1,0,Apartamento,1050,1261,,
Rua Joaquim Afonso de Souza,Vila Celeste,49,1,1,Apartamento,1800,2303,,
Rua Uxi,Jardim Santa Maria,80,2,1,Casa,1700,1842,,
Rua Cinco de Outubro,Americanópolis,120,2,1,Casa,1846,1924,,
Rua Baía Grande,Vila Bela,40,1,1,Casa,1100,1177,,
Rua São João da Bocaina,Chácara Mafalda,75,2,1,Casa,1800,2076,,
Rua Vicente Pereira de Assunção,Vila Constança,65,3,1,Apartamento,1872,2621,,
Rua Gregório Souza,Vila Nova Savoia,44,2,1,Apartamento,1500,1723,,
Rua General Júlio Marcondes Salgado,Campos Elíseos,64,2,1,Apartamento,1800,2442,,
Rua Stela Marina,Brooklin,26,1,0,Studio e kitnet,4500,5074,,
Rua Galeno de Castro,Jurubatuba,34,1,0,Apartamento,1800,2144,,
Rua Joaquim Afonso de Souza,Casa Verde Alta,26,1,0,Apartamento,920,1022,,
Rua Leopoldo Silingardi,Jardim Las Vegas,43,2,1,Apartamento,1800,2387,,
Rua República do Togo,Jardim Peri Peri,70,2,1,Casa,2633,2887,,
Rua São Bernardo,Cidade Mãe do Céu,47,2,0,Apartamento,2950,3394,,
Rua Galeno de Castro,Jurubatuba,35,2,0,Apartamento,2200,2520,,
Avenida Guarulhos,Vila Venditti,50,2,1,Apartamento,1450,1936,,
Avenida Roque Petroni Júnior,Jardim das Acácias,22,1,0,Studio e kitnet,3800,4521,,
Rua Pires de Campos,Alto da Mooca,34,2,0,Apartamento,1795,2334,,
Rua Intendência,Brás,53,2,0,Apartamento,1550,2010,,
Rua Campos,Vila Inah,354,3,3,Casa,5970,7013,,
Rua Doutor Argemiro Couto de Barros,Chácara Inglesa,69,1,0,Casa,1500,1563,,
Rua Riskallah Jorge,Centro,34,1,0,Studio e kitnet,1040,1420,,
Rua Aurora,Santa Efigênia,28,1,0,Studio e kitnet,1990,2551,,
Rua Marie Nader Calfat,Jardim Ampliação,56,2,1,Apartamento,2150,2788,,
Rua Joaquim Ferreira,Água Branca,43,1,1,Apartamento,2800,3742,,
Rua Henrique Casela,Jardim América da Penha,46,2,1,Apartamento,1500,1908,,
Rua Igarité,Vila Nova Carolina,24,1,0,Studio e kitnet,800,1031,,
Rua Manoel Rodrigues da Costa,Vila Guedes,80,2,2,Casa,2000,2085,,
Rua Fernandes Moreira,Chácara Santo Antônio (zona Sul),62,2,1,Apartamento,9500,10680,,
Rua Ilansa,Vila Prudente,79,3,2,Apartamento,3650,4888,,
Rua Aquiles Jovane,Jardim Celeste,48,2,1,Apartamento,1400,2017,,
Rua Agostinho Correia,Vila Regina,50,2,1,Apartamento,1300,1650,,
Rua Montojó,Quinta da Paineira,52,2,1,Apartamento,1250,1914,,
Rua Cachoeira,Jardim Rosa de Franca,40,1,0,Casa,800,834,,
Rua Benedito Faber,Lajeado,52,2,1,Apartamento,2290,2869,,
Avenida Doutor Hugo Beolchi,Vila Guarani (z Sul),26,1,0,Apartamento,2700,3093,,
Rua Quararibéia,Vila Isa,61,2,1,Apartamento,3000,3696,,
Rua Jurupari,Jardim Oriental,35,1,0,Casa,980,1097,,
Rua Indiana,Brooklin Paulista,50,1,1,Apartamento,2600,3370,,
Rua Dona Maria Carolina,Jardim Paulistano,24,1,1,Studio e kitnet,3500,4025,,
Rua Barão de Tatuí,Vila Buarque,30,1,1,Studio e kitnet,1262,1896,,
Rua Jaguaribe,Vila Buarque,50,2,1,Apartamento,1700,2616,,
Rua Cristiano Viana,Cerqueira César,73,2,1,Apartamento,6000,7231,,
Rua Valson Lopes,Vila Butantã,68,3,1,Apartamento,2500,3305,,
Rua Bucuituba,Vila Margarida,34,1,0,Apartamento,1100,1216,,
Rua Márcio Mazzei,Vila Nova Mazzei,53,2,1,Apartamento,1800,2369,,
Rua do Valo Velho,Vila Ede,85,2,1,Casa,1350,1407,,
Avenida Celso Garcia,Belenzinho,44,2,1,Apartamento,1850,2321,,
Rua Cavour 399 Apto 124 B/a,Vila Prudente,75,3,2,Apartamento,2900,3648,,
Rua Dona Vitu Giorgi,Jardim Leonor,55,2,1,Apartamento,1600,2162,,
Rua Doutor Nicolino Morena,Vila Constança,60,2,1,Apartamento,1350,1875,,
Avenida João Barreto de Menezes,Vila Santa Catarina,80,2,5,Casa,2200,2305,,
Rua Andrade Reis,Mooca,34,1,0,Apartamento,2000,2577,,
Rua Ernani Pinto,Vila Maria Alta,65,3,1,Apartamento,1800,2494,,
Rua Cônego Vicente Miguel Marino,Barra Funda,40,2,1,Apartamento,2800,3308,,
Rua Andradas,Santa Efigênia,30,1,0,Studio e kitnet,760,1258,,
Avenida Cupecê,Jardim Prudência,28,1,0,Apartamento,1900,2254,,
Rua Álvaro Nunes,Vila Congonhas,61,2,2,Apartamento,3500,4947,,
"Rua Turiuba, 114, Água Fria",Água Fria,38,1,0,Casa em condomínio,1249,1367,,
Rua Maracanã-guaçu,Jardim Sao Francisco (zona Leste),45,2,1,Apartamento,1250,1596,,
Rua Anamá,Guaiaúna,70,3,0,Casa,1200,1351,,
Rua Francisco Retti,Vila Oratorio,96,1,0,Casa,1700,1873,,
Rua Vigário Taques Bitencourt,Santo Amaro,350,3,4,Casa,3200,3378,,
Rua Coronel Fawcett,Vila Moraes,120,2,1,Casa,1400,1519,,
Rua Aguiar de Barros,Bela Vista,16,1,0,Apartamento,1800,2139,,
Rua Angaturama,Vila Moraes,35,1,0,Casa em condomínio,1250,1347,,
Rua Amorim Castro,Vila São Luís(zona Oeste),15,1,0,Studio e kitnet,740,1196,,
Rua Duque de Caxias,Campos Elíseos,61,1,0,Apartamento,1475,1732,,
Rua Ibéria,Vila Isolina Mazzei,38,1,0,Apartamento,1250,1388,,
Rua Coronel Homero da Silveira,Parque Peruche,70,1,1,Casa,1500,1655,,
Rua Renéa Ferreira de Castilho,Super Quadra Morumbi,110,3,3,Casa,3500,3825,,
Rua Manuel Leiroz,Vila Penteado,38,1,0,Apartamento,1350,1702,,
Rua Gradaú,Vila Bela,50,2,2,Apartamento,2500,3231,,
Rua Washington Luís,Centro Histórico de São Paulo,22,1,0,Studio e kitnet,1843,2164,,
Rua Timbiras,Santa Efigênia,36,1,1,Apartamento,1177,1861,,
Rua Isaura Abad Giacomelli,Jardim Aurelia,32,1,0,Studio e kitnet,1700,2067,,
Rua Ataliba Leonel,Vila Fidalgo,70,1,0,Casa,1380,1438,,
Rua Josef Kryss,Parque Industrial Tomas Edson,29,1,0,Apartamento,1760,2206,,
Rua Akron,Jardim Aricanduva,60,1,0,Casa,1350,1407,,
Rua Itaqueri,Alto da Mooca,40,1,0,Casa,1200,1331,,
Rua Barreiro da Raiz,Vila Nova Carolina,75,1,2,Casa,999,1041,,
Rua Conselheiro Lafaiette,Mooca,41,2,0,Apartamento,2200,2532,,
Rua Nestor Pestana,Consolação,42,1,0,Studio e kitnet,1706,2067,,
Rua Lindório,Vila Domitila,70,2,1,Casa,1930,2041,,
Travessa Carlos Ramirez,Vila Água Funda,54,1,1,Casa,1500,1563,,
Rua Panhames,Vila Beatriz,90,3,1,Casa,1900,2081,,
Rua Leandro de Carvalho,Vila Monumento,95,2,2,Apartamento,2570,2843,,
Rua José Maria Ressuto,Imirim,130,3,1,Casa,2500,2606,,
Rua Francisco Felippe Agosti,Vila Inglesa,55,2,1,Apartamento,1417,2154,,
Rua Tetsuaki Misawa,Vila Clementino,110,3,2,Casa,5250,5813,,
Rua José de Figueiredo Seixas,Sítio do Mandaqui,50,2,1,Apartamento,1300,1992,,
Rua Oscar Cintra Gordinho,Liberdade,35,1,0,Apartamento,1281,1331,,
Rua Celeste Fernandes Dalphorno,Jardim Rosana,40,1,0,Casa,800,949,,
Rua Piracanguá,Jardim Sao Paulo(zona Norte),80,2,1,Casa,2000,2085,,
Rua Jaracatiá,Jardim Umarizal,65,2,1,Apartamento,1500,2058,,
Rua Marquês de Lages,Vila Moraes,63,3,1,Apartamento,1200,1867,,
Rua Francisca Miquelina,Bela Vista,30,1,0,Apartamento,1795,2239,,
Rua Domingos Portela,Jardim das Vertentes,207,3,6,Casa,5500,5834,,
Rua Doutor Cesário Mota Júnior,Vila Buarque,27,1,0,Apartamento,1401,1835,,
Rua Edmundo Juventino Fuentes,Parque Tomas Saraiva,60,2,1,Apartamento,1950,2527,,
Avenida Alberto Fontana,Jardim Celeste,56,2,1,Apartamento,1600,2152,,
Avenida Professor Luiz Ignácio Anhaia Mello,Vila Graciosa,32,1,0,Studio e kitnet,1312,1703,,
Rua Amapá,Vila Canero,60,2,1,Apartamento,4000,4507,,
Rua Albino Boldasso Gabril,Vila Cruzeiro,44,0,0,Studio e kitnet,1400,1598,,
Rua Artur Bernardes,Vila Invernada,34,1,0,Apartamento,1450,1606,,
Rua Henrique Braglia,Vila Dom Pedro Ii,55,2,1,Apartamento,2100,2668,,
Rua Galeão Coutinho,Vila Marina,70,1,0,Casa,1210,1262,,
Rua Celso Ramos,Vila Andrade,48,2,1,Apartamento,2100,2557,,
Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,61,2,1,Apartamento,1300,1919,,
Rua Coronel Amaro Sobrinho,Vila Carrao,80,2,1,Casa,1650,1720,,
Rua Marie Nader Calfat,Jardim Ampliação,60,2,1,Apartamento,2684,3728,,
Rua das Ameixas,Vila Cruz das Almas,120,3,1,Casa,2000,2085,,
Rua Aguiar de Barros,Bela Vista,16,1,0,Studio e kitnet,2950,3378,,
Rua Visconde de Parnaíba,Jardim Brasília (zona Norte),38,2,0,Apartamento,1970,2496,,
Rua Ernani Pinto,Vila Maria Alta,64,3,2,Apartamento,1650,2452,,
Rua Dona Vitu Giorgi,Jardim Leonor,44,2,1,Apartamento,1879,2391,,
Avenida Washington Luís,Jardim Aeroporto,55,1,0,Apartamento,1500,2064,,
Rua Barão do Serro Largo,Vila Regente Feijó,150,3,1,Casa,3400,3960,,
Rua Salvador Tolezano,Parque Mandaqui,65,2,1,Apartamento,1650,2183,,
Avenida Emílio Ribas,Jardim Tijuco,57,2,1,Apartamento,2000,2568,,
Rua Cônego Vicente Miguel Marino,Barra Funda,40,2,0,Apartamento,2200,2704,,
Rua Ourânia,Vila Madalena,72,2,1,Apartamento,4300,5200,,
Rua Descampado,Vila Vera,74,3,2,Apartamento,4000,4913,,
Praça Doutor Mário Margarido,Liberdade,35,1,0,Studio e kitnet,750,1195,,
Avenida Duque de Caxias,Campos Elíseos,26,1,0,Studio e kitnet,2500,2910,,
Rua Torres da Barra,Água Branca,33,1,1,Apartamento,2280,2806,,
Rua Bruna,Chácara Mafalda,42,2,1,Apartamento,1600,1963,,
Rua Antônio Neto Caldeira,Vila Antonieta,47,2,1,Apartamento,2000,2226,,
Rua Getúlio Vargas Filho,Cidade Vargas,45,2,0,Apartamento,2151,2544,,
Rua Álvaro de Carvalho,Bela Vista,32,1,0,Studio e kitnet,1200,1660,,
Rua Doutor Augusto César,Vila Rui Barbosa,90,2,3,Casa,2500,2642,,
Rua Ulisses Paschoal,Jardim Lourdes (zona Sul),15,1,0,Studio e kitnet,882,1009,,
Rua Leôncio da Costa Vieira,Jardim Piqueroby,35,1,0,Studio e kitnet,2800,3038,,
Rua Corinto de Toledo,Parque Jabaquara,135,3,4,Casa,6500,7051,,
Avenida Raimundo Pereira de Magalhães,Jardim Íris,44,2,1,Apartamento,1800,2219,,
Avenida Vereador Abel Ferreira,Vila Regente Feijó,28,1,0,Studio e kitnet,1133,1265,,
Avenida Sapopemba,Jardim Adutora,32,2,0,Apartamento,1521,1789,,
Rua Andrade Reis,Mooca,34,1,0,Studio e kitnet,2060,2440,,
Rua Bicudo de Brito,Vila Guarani (z Sul),45,2,0,Apartamento,1538,1797,,
Avenida Ministro Petrônio Portela,Vila Amélia,67,2,1,Apartamento,1449,2065,,
Rua Barros Sobrinho,Vila Ema,60,2,1,Apartamento,2900,3898,,
Rua Doutor Morais Dantas,Vila Barbosa,39,1,1,Apartamento,1500,1967,,
Rua Soror Angélica,Vila Ester (zona Norte),120,3,1,Casa,2856,3019,,
Avenida Belisário Pena,Vila Maria Alta,30,1,0,Casa em condomínio,800,885,,
"Vila Rio de Janeiro, Guarulhos - Sp, 07082-610, Brasil",Vila Rio de Janeiro,43,2,1,Apartamento,1400,1804,,
Avenida Professor Miguel Franchini Neto,Loteamento City Jaragua,43,2,0,Apartamento,1500,2000,,
Rua Poetisa Colombina,Jardim Bonfiglioli,70,3,1,Apartamento,3750,4716,,
Rua Açatunga,Vila Congonhas,166,2,1,Casa,4500,4575,,
Rua Guirá-acangatara,Jardim Sao Francisco (zona Leste),48,2,1,Apartamento,1474,1856,,
Rua Dom José Marcondes,Jardim Almanara,40,2,1,Apartamento,1300,1944,,
Rua Antônio Abude,Jardim Barbosa,70,2,1,Apartamento,1800,2385,,
Rua José Fernandes Caldas,Vila Santa Teresa (zona Sul),63,2,1,Apartamento,1900,2415,,
Avenida Damasceno Vieira,Jardim Jabaquara,70,2,1,Apartamento,2200,3249,,
Rua Professor José Soares de Mello,Jardim Centenario,42,2,1,Apartamento,1700,2224,,
Rua Aguiar de Barros,Bela Vista,31,1,0,Apartamento,3500,4096,,
Avenida Cupecê,Jardim Prudência,65,2,1,Apartamento,2100,3027,,
Rua Arnaldo Cintra,Vila Moreira,52,3,1,Apartamento,2100,2832,,
Rua Vicenzo Paciulo,Jardim Las Vegas,80,3,2,Apartamento,1800,2745,,
Rua Mariquinha Viana,Vila Aurora (zona Norte),70,2,1,Apartamento,1800,2623,,
Avenida Duque de Caxias,Campos Elíseos,39,1,0,Studio e kitnet,1955,2390,,
Avenida Parada Pinto,Vila Nova Cachoeirinha,55,2,1,Apartamento,3200,3803,,
Rua Marquês de Valença,Alto da Mooca,79,3,2,Apartamento,3000,4228,,
Rua Quintana,Cidade Monções,58,1,1,Apartamento,2800,5402,,
Rua Leôncio da Costa Vieira,Jardim Piqueroby,45,2,0,Apartamento,3100,3350,,
Avenida Monte Celeste,Vila Santa Maria,57,2,2,Apartamento,1900,2648,,
Rua Anália Franco,Vila Regente Feijó,70,2,2,Apartamento,5500,6354,,
Rua Marius,Vila Celeste,84,3,1,Apartamento,2200,3144,,
Rua Princesa Isabel,Brooklin Paulista,38,1,0,Apartamento,2160,3151,,
Rua Chácara do Carvalho,Campos Elíseos,35,1,0,Apartamento,1800,2719,,
Rua Leôncio da Costa Vieira,Jardim Piqueroby,28,1,0,Studio e kitnet,2500,2726,,
Rua Rodesia,Alto de Pinheiros,35,1,1,Apartamento,2550,3539,,
Rua Piraçununga,Vila Bertioga,50,2,2,Apartamento,2335,3435,,
Travessa dos Manacás,Parque Assunção,54,2,0,Apartamento,1350,1442,,
Rua Doutor Eduardo de Souza Aranha,Vila Nova Conceição,80,2,1,Apartamento,4000,5159,,
Rua Major Rubéns Florentino Vaz,Vila Pirajussara,16,1,0,Studio e kitnet,2100,2181,,
Avenida Monteiro Lobato,Vila Miriam,53,2,1,Apartamento,1800,2272,,
Rua Refinaria Mataripe,Vila Antonieta,68,3,1,Apartamento,1650,2313,,
Rua Adolfo Gordo,Campos Elíseos,28,1,1,Apartamento,1800,2311,,
Rua Sansão Alves dos Santos,Cidade Monções,44,2,1,Apartamento,3000,4385,,
Rua Celso Ramos,Vila Andrade,69,3,2,Apartamento,3150,3899,,
Rua Ministro Genésio de Almeida Moura,Vila Nova Mazzei,38,2,0,Casa,2000,2185,,
Rua Cristiano Viana,Cerqueira César,90,1,1,Apartamento,4500,6579,,
Rua Joaquim Guarani,Jardim das Acacias,20,1,0,Apartamento,2750,3313,,
Rua Djalma Coelho,Sumarezinho,39,1,1,Apartamento,4500,5583,,
